test,domain,skill,difficulty,question_text_latex,figure_description,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,step_1,step_2,step_3,step_4,step_5,step_6
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"In the figure, line $l$ is parallel to line $m$, and line $t$ is a transversal. What is the value of $x$?","A 2D diagram displays two parallel horizontal lines, labeled 'l' (top) and 'm' (bottom). A third line, 't', intersects both parallel lines, running from the top-left to the bottom-right. At the intersection of line 'l' and line 't', the upper-right angle is marked with an arc and labeled $110^{\circ}$. At the intersection of line 'm' and line 't', the upper-right angle is marked with an arc and labeled $x^{\circ}$. The parallel lines 'l' and 'm' have small arrow marks on them to indicate they are parallel.",$70$,$80$,$110$,$180$,C,,"The problem shows two parallel lines, $l$ and $m$, intersected by a transversal line $t$. We need to find the value of $x$.",The angle marked $110^{\circ}$ and the angle marked $x^{\circ}$ are in the same relative position at each intersection. These are called corresponding angles.,"A theorem in geometry states that when two parallel lines are intersected by a transversal, the corresponding angles are equal in measure.","Therefore, the measure of angle $x$ must be equal to the measure of the given angle. So, $x = 110$.",,
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"In the triangle shown, what is the value of $y$?","A 2D diagram of a triangle with vertices A, B, and C. Angle A at the top vertex is labeled $45^{\circ}$. Angle B at the bottom-left vertex is labeled $65^{\circ}$. Angle C at the bottom-right vertex is labeled $y^{\circ}$. The side lengths are not given, and the triangle appears to be scalene.",$60$,$70$,$80$,$110$,B,,"The problem provides a triangle with two of its interior angles given and asks for the value of the third angle, $y$.",The sum of the measures of the interior angles of any triangle is always $180^{\circ}$.,We can set up an equation using the given angles: $45 + 65 + y = 180$.,"First, sum the known angles: $45 + 65 = 110$. The equation becomes $110 + y = 180$.","To solve for $y$, subtract 110 from both sides of the equation: $y = 180 - 110 = 70$.",
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,Two lines intersect as shown in the figure. What is the value of $z$?,"A 2D figure shows two straight lines intersecting. One line runs from top-left to bottom-right, and the other from bottom-left to top-right. They intersect, forming four angles. The angle on the right is labeled $z^{\circ}$. The angle on the left, which is vertically opposite to the angle labeled $z^{\circ}$, is labeled $42^{\circ}$. The top and bottom angles are not labeled.",$42$,$48$,$138$,$180$,A,,The figure shows two intersecting lines. The angle labeled $z^{\circ}$ and the angle labeled $42^{\circ}$ are opposite each other at the intersection point.,Angles that are opposite each other when two lines intersect are called vertical angles.,A property of vertical angles is that they are always equal in measure.,"Therefore, the value of $z$ must be equal to 42.",,
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"In the figure, angle $ABC$ is a straight angle. What is the measure of angle $DBE$?","A 2D diagram shows a straight horizontal line with points A, B, and C on it, in that order from left to right. Point B is the vertex of two rays, ray BD and ray BE, which are in the upper half-plane. Ray BD points upwards and to the left, forming angle ABD. Ray BE points upwards and to the right, forming angle CBE. The angle between ray BD and ray BE is angle DBE. Angle ABD is labeled $75^{\circ}$. Angle CBE is labeled $60^{\circ}$. The question asks for the measure of angle DBE, which is situated between the other two angles.",$15^{\circ}$,$30^{\circ}$,$45^{\circ}$,$135^{\circ}$,C,,It is given that angle $ABC$ is a straight angle. This means its measure is $180^{\circ}$.,"The straight angle $ABC$ is composed of three adjacent angles: angle $ABD$, angle $DBE$, and angle $CBE$. The sum of their measures must be equal to the measure of the straight angle.",We can write the equation: $m\angle ABD + m\angle DBE + m\angle CBE = 180^{\circ}$.,Substitute the given values into the equation: $75^{\circ} + m\angle DBE + 60^{\circ} = 180^{\circ}$.,Combine the known angle measures: $135^{\circ} + m\angle DBE = 180^{\circ}$.,Subtract $135^{\circ}$ from both sides to find the measure of angle $DBE$: $m\angle DBE = 180^{\circ} - 135^{\circ} = 45^{\circ}$.
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"In the right triangle shown, what is the value of $x$?",A 2D diagram shows a right-angled triangle. The vertex with the right angle is at the bottom right and is marked with a small square symbol. The top vertex has an angle labeled $34^{\circ}$. The bottom-left vertex has an angle labeled $x^{\circ}$.,$34$,$56$,$90$,$124$,B,,"The figure shows a right-angled triangle. One angle is a right angle ($90^{\circ}$), and another acute angle is given as $34^{\circ}$.",The sum of the interior angles in any triangle is $180^{\circ}$.,We can set up an equation using the angles of this triangle: $x + 34 + 90 = 180$.,Combine the known angles: $x + 124 = 180$.,Subtract 124 from both sides to solve for $x$: $x = 180 - 124 = 56$.,"Alternatively, in a right triangle, the two acute angles are complementary, meaning they sum to $90^{\circ}$. So, $x + 34 = 90$, which gives $x = 90 - 34 = 56$."
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"In the figure, line $p$ is parallel to line $q$. What is the value of $y$?","A 2D diagram shows two parallel horizontal lines, 'p' (top) and 'q' (bottom), marked with parallel indicator arrows. A transversal line cuts through them from top-right to bottom-left. In the 'interior' region between the parallel lines, on opposite sides of the transversal, two angles are marked. The angle at the intersection with line 'p' (top-right interior) is labeled $y^{\circ}$. The angle at the intersection with line 'q' (bottom-left interior) is labeled $77^{\circ}$.",$13$,$77$,$103$,$154$,B,,"The figure shows two parallel lines, $p$ and $q$, intersected by a transversal.",The angles labeled $y^{\circ}$ and $77^{\circ}$ are located in the interior region between the parallel lines and on opposite (alternate) sides of the transversal.,These angles are known as alternate interior angles.,"A geometric theorem states that when parallel lines are cut by a transversal, alternate interior angles are equal in measure.","Therefore, the value of $y$ is 77.",
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"In the isosceles triangle $ABC$, the length of side $AB$ is equal to the length of side $AC$. If the measure of angle $B$ is $68^{\circ}$, what is the measure of angle $A$?","A 2D diagram of an isosceles triangle with vertices A, B, and C. Vertex A is at the top. Vertices B and C form the base. Small tick marks on side AB and side AC indicate that these sides are equal in length. Angle B, at the bottom-left vertex, is labeled $68^{\circ}$. The question asks for the measure of angle A, the vertex angle.",$44^{\circ}$,$56^{\circ}$,$68^{\circ}$,$112^{\circ}$,A,,"The triangle $ABC$ is isosceles with $AB = AC$. This means that the angles opposite these sides are equal. These are the base angles, $\angle B$ and $\angle C$.","Given that the measure of angle $B$ is $68^{\circ}$, the measure of angle $C$ must also be $68^{\circ}$.","The sum of the angles in any triangle is $180^{\circ}$. So, $m\angle A + m\angle B + m\angle C = 180^{\circ}$.",Substitute the known values: $m\angle A + 68^{\circ} + 68^{\circ} = 180^{\circ}$.,Combine the base angle measures: $m\angle A + 136^{\circ} = 180^{\circ}$.,Subtract $136^{\circ}$ from both sides to find the measure of angle $A$: $m\angle A = 180^{\circ} - 136^{\circ} = 44^{\circ}$.
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"In the figure, lines $m$ and $n$ are parallel. What is the value of $x$?","A 2D diagram shows two parallel horizontal lines, 'm' (top) and 'n' (bottom), with parallel indicator arrows. A transversal line intersects them, tilted from top-left to bottom-right. Two angles in the interior region between the parallel lines and on the same side of the transversal are marked. The upper interior angle (at the intersection with line 'm') is labeled $125^{\circ}$. The lower interior angle (at the intersection with line 'n') is labeled $x^{\circ}$.",$55$,$65$,$125$,$205$,A,,"The figure shows two parallel lines, $m$ and $n$, intersected by a transversal.",The angles labeled $125^{\circ}$ and $x^{\circ}$ are located in the interior region between the parallel lines and are on the same side of the transversal.,These are called consecutive interior angles (or same-side interior angles).,"A theorem states that when parallel lines are cut by a transversal, consecutive interior angles are supplementary, meaning their measures add up to $180^{\circ}$.",We can set up the equation: $x + 125 = 180$.,Subtract 125 from both sides to solve for $x$: $x = 180 - 125 = 55$.
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,What is the value of $x$ in the figure shown?,"A 2D figure shows a straight horizontal line. A ray extends upwards from a point on the line, creating two adjacent angles that form a linear pair. The angle on the left is labeled $x^{\circ}$. The angle on the right is labeled $140^{\circ}$. The horizontal line is labeled 'L'.",$40$,$50$,$140$,$220$,A,,The angles labeled $x^{\circ}$ and $140^{\circ}$ are adjacent angles that together form a straight line.,Angles that form a straight line are called a linear pair and are supplementary.,Supplementary angles add up to $180^{\circ}$.,"Therefore, we can write the equation: $x + 140 = 180$.","To find $x$, subtract 140 from both sides: $x = 180 - 140 = 40$.",
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"Triangles $ABC$ and $DEF$ are similar, such that $\angle A$ corresponds to $\angle D$ and $\angle B$ corresponds to $\angle E$. If $m\angle A = 30^{\circ}$ and $m\angle F = 80^{\circ}$, what is the measure of $\angle B$?","A 2D diagram shows two separate triangles, labeled ABC and DEF. They appear to be of different sizes but similar shapes. Triangle ABC has vertex A at the top, B at the bottom left, and C at the bottom right. An arc at vertex A is labeled $30^{\circ}$. Triangle DEF has vertex D at the top, E at the bottom left, and F at the bottom right. An arc at vertex F is labeled $80^{\circ}$. The correspondence of vertices A to D, B to E, and C to F is stated in the text.",$30^{\circ}$,$70^{\circ}$,$80^{\circ}$,$110^{\circ}$,B,,"We are given that $\triangle ABC \sim \triangle DEF$. In similar triangles, corresponding angles are equal.","The correspondence is given as $A \leftrightarrow D$, $B \leftrightarrow E$, and therefore $C \leftrightarrow F$.","This means $m\angle A = m\angle D$, $m\angle B = m\angle E$, and $m\angle C = m\angle F$.","We are given $m\angle A = 30^{\circ}$ and $m\angle F = 80^{\circ}$. From the correspondences, we know $m\angle D = 30^{\circ}$ and $m\angle C = 80^{\circ}$.","To find $m\angle B$, we can use the fact that the sum of angles in $\triangle ABC$ is $180^{\circ}$: $m\angle A + m\angle B + m\angle C = 180^{\circ}$.","Substitute the known values for $\triangle ABC$: $30^{\circ} + m\angle B + 80^{\circ} = 180^{\circ}$. This simplifies to $110^{\circ} + m\angle B = 180^{\circ}$. Solving for $m\angle B$, we get $m\angle B = 180^{\circ} - 110^{\circ} = 70^{\circ}$."
