test,domain,skill,difficulty,question_text_latex,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,step_1,step_2,step_3,step_4,step_5,step_6
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Easy,$x^2 - 11 = 110$ \\ What is the positive solution to the given equation?,11,12,99,121,A,,The given equation is $x^2 - 11 = 110$.,"To solve for $x$, first isolate the $x^2$ term by adding 11 to both sides of the equation: $x^2 = 110 + 11$.",This simplifies to $x^2 = 121$.,"Next, take the square root of both sides: $x = \pm\sqrt{121}$.",The two possible values for $x$ are $x = 11$ and $x = -11$.,"The question asks for the positive solution, which is 11."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Easy,$y = x^2$ \\ $y = 81$ \\ The graphs of the given equations in the xy-plane intersect at two points. What is the positive value of x at one of the intersection points?,,,,,9,9,We are given a system of two equations: $y = x^2$ and $y = 81$.,The intersection points are the solutions to this system. We can find the solutions by substituting the value of $y$ from the second equation into the first equation.,Substituting 81 for $y$ in the first equation gives $81 = x^2$.,"To solve for $x$, we take the square root of both sides: $x = \pm\sqrt{81}$.",This yields two possible solutions for $x$: $x = 9$ and $x = -9$.,"The question asks for the positive value of $x$, which is 9."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Easy,"If $(x-3)^2 = 100$, what is one possible value of $x$?",7,10,13,97,C,,The given equation is $(x-3)^2 = 100$.,Take the square root of both sides of the equation: $\sqrt{(x-3)^2} = \pm\sqrt{100}$.,This simplifies to $x - 3 = \pm 10$.,This results in two separate linear equations. Equation 1: $x - 3 = 10$. Equation 2: $x - 3 = -10$.,"Solve Equation 1 by adding 3 to both sides: $x = 10 + 3$, which gives $x = 13$.","Solve Equation 2 by adding 3 to both sides: $x = -10 + 3$, which gives $x = -7$. The possible values are 13 and -7. Of the choices provided, 13 is a possible value."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Easy,$|x + 6| = 14$ \\ What is the negative solution to the given equation?,-8,-14,-20,-24,C,,The equation is an absolute value equation: $|x + 6| = 14$.,"By the definition of absolute value, this equation can be split into two cases.","Case 1: $x + 6 = 14$. Subtracting 6 from both sides gives $x = 14 - 6$, so $x = 8$.","Case 2: $x + 6 = -14$. Subtracting 6 from both sides gives $x = -14 - 6$, so $x = -20$.",The two solutions to the equation are 8 and -20.,"The question asks for the negative solution, which is -20."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in in two variables,Easy,"$y = 25$ \\ $x = \sqrt{y} - 2$ \\ The given equations define a solution $(x, y)$ in the xy-plane. What is the value of $x$?",,,,,3,3,We have a system of two equations: $y = 25$ and $x = \sqrt{y} - 2$.,"To find the value of $x$, we can substitute the value of $y$ from the first equation into the second equation.",Substitute 25 for $y$ in the second equation: $x = \sqrt{25} - 2$.,"Calculate the square root of 25, which is 5. The equation becomes $x = 5 - 2$.",Performing the subtraction gives $x = 3$.,"The value of $x$ for the solution $(x,y)$ is 3."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Easy,$\frac{x^2}{4} = 16$ \\ Which of the following is a solution to the given equation?,4,8,16,32,B,,The given equation is $\frac{x^2}{4} = 16$.,"To solve for $x$, first multiply both sides of the equation by 4 to isolate the $x^2$ term: $x^2 = 16 \times 4$.",This simplifies to $x^2 = 64$.,Take the square root of both sides to solve for $x$: $x = \pm\sqrt{64}$.,The solutions are $x = 8$ and $x = -8$.,"Of the choices given, 8 is a solution to the equation."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Easy,$3x^2 = 75$ \\ What is the positive value of $x$ that satisfies the equation?,3,5,15,25,B,,The given equation is $3x^2 = 75$.,"To solve for $x$, first divide both sides by 3 to isolate $x^2$: $x^2 = \frac{75}{3}$.",The equation simplifies to $x^2 = 25$.,Take the square root of both sides: $x = \pm\sqrt{25}$.,The two possible values for $x$ are $x = 5$ and $x = -5$.,"The question asks for the positive value of $x$, which is 5."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Easy,$|2x - 1| = 7$ \\ What is one possible solution to the given equation?,,,,,"4, -3","4, -3",The given equation is $|2x - 1| = 7$.,The definition of absolute value implies two separate linear equations.,Case 1: $2x - 1 = 7$. Adding 1 to both sides gives $2x = 8$. Dividing by 2 gives $x = 4$.,Case 2: $2x - 1 = -7$. Adding 1 to both sides gives $2x = -6$. Dividing by 2 gives $x = -3$.,The two possible solutions to the equation are 4 and -3.,Either 4 or -3 is a correct answer.
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Easy,"$x^2 = y + 1$ \\ $y = 15$ \\ For the solution $(x,y)$ to the system of equations above, what is a possible value of $x$?",4,8,14,16,A,,The given system of equations is $x^2 = y + 1$ and $y = 15$.,Substitute the value of $y$ from the second equation into the first equation.,This gives $x^2 = 15 + 1$.,Simplify the right side of the equation: $x^2 = 16$.,Take the square root of both sides to find the values of $x$: $x = \pm\sqrt{16}$.,"The possible values for $x$ are 4 and -4. Of the given choices, 4 is a possible value."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Easy,"If $\sqrt{x+2} = 5$, what is the value of $x$?",3,7,23,25,C,,The equation is $\sqrt{x+2} = 5$.,"To remove the square root, square both sides of the equation: $(\sqrt{x+2})^2 = 5^2$.",This simplifies to $x + 2 = 25$.,"To solve for $x$, subtract 2 from both sides of the equation: $x = 25 - 2$.",This gives the solution $x = 23$.,You can check the answer by substituting 23 back into the original equation: $\sqrt{23+2} = \sqrt{25} = 5$.
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Easy,"$y = x - 2$ \\ $y = x^2 - 8$ \\ If $(x,y)$ is a solution to the system of equations above and $x > 0$, what is the value of $x$?",,,,,3,3,We are given a system of equations: $y = x - 2$ and $y = x^2 - 8$.,"Since both expressions are equal to $y$, we can set them equal to each other: $x - 2 = x^2 - 8$.",Rearrange the equation into standard quadratic form ($ax^2 + bx + c = 0$) by moving all terms to one side. Subtract $x$ and add 2 to both sides: $0 = x^2 - x - 6$.,Factor the quadratic expression: $(x-3)(x+2) = 0$.,The zero product property gives two possible solutions for $x$: $x=3$ and $x=-2$.,"The problem states that $x > 0$, so the correct value of $x$ is 3."
