test,domain,skill,difficulty,question_text_latex,figure_description,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,step_1,step_2,step_3,step_4,step_5,step_6
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal and ranges from -4 to 8, with tick marks at every integer unit. Numerical labels appear every 2 units (-4, -2, 0, 2, 4, 6, 8). The y-axis is vertical and ranges from -4 to 8, with tick marks at every integer unit. Numerical labels appear every 2 units (-4, -2, 0, 2, 4, 6, 8). A square grid is formed by light gray lines at every integer unit on both axes. Two solid black lines are graphed. Line 1 is a line with a positive slope passing through the points (0, -1) and (4, 3). Line 2 is a line with a negative slope passing through the points (0, 5) and (5, 0). The two lines intersect at the point (3, 2).","$(0, 5)$","$(3, 2)$","$(5, 0)$","$(0, -1)$",B,,The solution to a system of linear equations corresponds to the point of intersection of their graphs.,"To find the solution, we must identify the coordinates of the point where the two lines on the graph cross.","By observing the graph, we can see that the two lines intersect at the point where the x-coordinate is 3 and the y-coordinate is 2.","Thus, the solution to the system is the ordered pair $(3, 2)$.","Comparing our result with the given options, we find that option B matches the solution.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -8 to 4, with tick marks at every integer unit. Numerical labels are at -8, -6, -4, -2, 0, 2, 4. The y-axis is vertical, ranging from -2 to 8, with tick marks at every integer unit. Numerical labels are at -2, 0, 2, 4, 6, 8. A square grid is formed by light gray lines at every integer unit on both axes. Two solid black lines are graphed. Line 1 passes through the points (-4, 1) and (0, -1). Line 2 passes through the points (-5, 0) and (0, 5). The two lines intersect at the point (-4, 1).","$(0, 5)$","$(0, -1)$","$(-4, 1)$","$(-5, 0)$",C,,"The solution to a system of linear equations is the point $(x,y)$ that lies on both lines.","Graphically, this solution is the point where the two lines intersect.","Locating the intersection point on the provided graph, we find its x-coordinate is -4 and its y-coordinate is 1.","Therefore, the solution to the system is $(-4, 1)$.",This corresponds to option C.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $x$?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -2 to 10, with tick marks at every integer unit and numerical labels every 2 units. The y-axis is vertical, ranging from -10 to 2, with tick marks at every integer unit and numerical labels every 2 units. A square grid is formed by light gray lines at every integer unit on both axes. Two solid black lines are graphed. Line 1 is a horizontal line passing through $y = -3$. Line 2 has a positive slope and passes through the points (0, -8) and (8, 0). The two lines intersect at the point (5, -3).",,,,,5,5,"The solution $(x,y)$ to the system of linear equations is the point where the two lines intersect on the graph.","By examining the graph, we can see the two lines cross at the point $(5, -3)$.","So, the solution to the system is $(x,y) = (5, -3)$.",The question asks for the value of $x$.,"From the solution, the value of $x$ is 5.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $y$?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -8 to 4, with tick marks at every integer unit and numerical labels every 2 units. The y-axis is vertical, ranging from -10 to 2, with tick marks at every integer unit and numerical labels every 2 units. A square grid is formed by light gray lines at every integer unit on both axes. Two solid black lines are graphed. Line 1 is a vertical line passing through $x = -2$. Line 2 has a negative slope and passes through the points (0, -9) and (-4, -1). The two lines intersect at the point (-2, -5).",,,,,-5,-5,The solution to a system of linear equations is represented graphically by the point of intersection of the lines.,"Observing the provided graph, we can identify the coordinates of the intersection point.","The two lines intersect at the point $(-2, -5)$.","This means the solution is $(x,y) = (-2, -5)$.",The question asks for the value of $y$.,"From the solution, the value of $y$ is -5."
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal and ranges from -2 to 8, with tick marks at every integer unit and numerical labels every 2 units. The y-axis is vertical and ranges from -2 to 8, with tick marks at every integer unit and numerical labels every 2 units. A square grid is formed by light gray lines at every integer unit on both axes. Two solid black lines are graphed. Line 1 is a vertical line passing through $x = 4$. Line 2 is a horizontal line passing through $y = 4$. The two lines intersect at the point (4, 4).","$(0, 4)$","$(4, 0)$","$(0, 0)$","$(4, 4)$",D,,"The solution of a system of linear equations is the point $(x, y)$ where the graphed lines intersect.",We need to find the coordinates of this intersection point from the graph.,The graph shows a vertical line and a horizontal line. The vertical line is at $x=4$. The horizontal line is at $y=4$.,These lines intersect at the point where the x-coordinate is 4 and the y-coordinate is 4.,"Therefore, the solution to the system is $(4, 4)$, which corresponds to option D.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $x$?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal and ranges from -2 to 10, with tick marks at every integer unit and numerical labels every 2 units. The y-axis is vertical and ranges from -2 to 8, with tick marks at every integer unit and numerical labels every 2 units. A square grid is formed by light gray lines at every integer unit on both axes. Two solid black lines are graphed. Line 1 is a horizontal line passing through $y = 1$. Line 2 has a slope of -1 and passes through the points (0, 7) and (7, 0). The two lines intersect at the point (6, 1).",,,,,6,6,"The solution $(x,y)$ to the system of equations is the point of intersection of the two graphed lines.","By examining the graph, we locate the point where the two lines cross.","The intersection point has coordinates $(6, 1)$.","The question asks for the value of $x$ from the solution $(x,y)$.",The x-coordinate of the intersection point is 6.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $y$?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal and ranges from -8 to 4, with tick marks at every integer unit and numerical labels every 2 units. The y-axis is vertical and ranges from 0 to 8, with tick marks at every integer unit and numerical labels every 2 units. A square grid is formed by light gray lines at every integer unit on both axes. Two solid black lines are graphed. Line 1 is a vertical line passing through $x = -3$. Line 2 has a positive slope and passes through the points (0, 6) and (-6, 4). The two lines intersect at the point (-3, 5).",,,,,5,5,The solution to a system of linear equations is the point of intersection of the graphed lines.,We must find the coordinates of the point where the two lines cross on the graph.,"The graph shows that the lines intersect at the point $(-3, 5)$.","The question asks for the value of $y$ from the solution $(x, y)$.",The y-coordinate of the intersection point is 5.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal and ranges from -5 to 5, with tick marks at every integer unit. Numerical labels are at -4, -2, 0, 2, 4. The y-axis is vertical and ranges from -2 to 8, with tick marks at every integer unit. Numerical labels are at -2, 0, 2, 4, 6, 8. A square grid is formed by light gray lines at every integer unit on both axes. Two solid black lines are graphed. Line 1 passes through the points (-3, 0) and (2, 5). Line 2 passes through the points (2, -1) and (-1, 5). The two lines intersect at the point (0, 3) which is on the y-axis.","$(-3, 0)$","$(2, -1)$","$(0, 3)$","$(1, 1)$",C,,The solution to a system of linear equations is the point of intersection of their graphs.,We need to identify the coordinates of the point where the two lines cross.,"Looking at the graph, the two lines intersect on the y-axis.","The coordinates of this intersection point are $(0, 3)$.","Therefore, the solution to the system is $(0, 3)$, which corresponds to option C.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -6 to 2, with tick marks at every integer unit and labels at -6, -4, -2, 0, 2. The y-axis is vertical, ranging from -6 to 6, with tick marks at every integer unit and labels at -6, -4, -2, 0, 2, 4, 6. A square grid is formed by light gray lines at every integer unit on both axes. Two solid black lines are graphed. Line 1 passes through the points (-2, 4) and (-5, -2). Line 2 passes through the points (0, -4) and (-6, 2). The two lines intersect at the point (-4, 0) on the x-axis.","$(0, -4)$","$(0, 4)$","$(-2, 4)$","$(-4, 0)$",D,,"The solution to a system of linear equations is the ordered pair $(x,y)$ corresponding to the point where the lines intersect.",We examine the graph to find the point of intersection.,The graph shows that the two lines intersect on the x-axis.,"The coordinates of this intersection point are $(-4, 0)$.","Thus, the solution is $(-4, 0)$, which matches option D.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $x$?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal and ranges from -4 to 6, with tick marks at every integer unit and numerical labels every 2 units. The y-axis is vertical and ranges from -6 to 6, with tick marks at every integer unit and numerical labels every 2 units. A square grid is formed by light gray lines at every integer unit on both axes. Two solid black lines are graphed. Line 1 passes through the points (2, 2) and (0, -4). Line 2 passes through the origin (0, 0) and the point (-3, 3). The two lines intersect at the point (1, -1).",,,,,1,1,The solution to a system of linear equations is given by the coordinates of the point of intersection of the lines on the graph.,"By inspecting the graph, we can see that the two lines cross at the point $(1, -1)$.","The solution is therefore $(x,y) = (1, -1)$.",The question asks for the value of $x$.,The x-coordinate of the solution is 1.,
