test,domain,skill,difficulty,question_text_latex,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,step_1,step_2,step_3,step_4,step_5,step_6
Math,Advanced Math,Equivalent expressions,Easy,Which expression is equivalent to $3a + 5a$?,$8a$,$15a$,$8a^2$,$2a$,A,,The given expression is $3a + 5a$.,"The terms $3a$ and $5a$ are like terms because they share the same variable, $a$, raised to the same power (1).","To combine like terms, we add their coefficients.",The coefficients are 3 and 5. Their sum is $3 + 5 = 8$.,"So, the equivalent expression is $8a$.",
Math,Advanced Math,Equivalent expressions,Easy,Which expression is equivalent to $3(x + 4)$?,$3x + 4$,$x + 12$,$3x + 12$,$7x$,C,,The given expression is $3(x + 4)$.,"Use the distributive property, which states $a(b+c) = ab + ac$.","Multiply the term outside the parentheses, 3, by each term inside the parentheses, $x$ and 4.",$3 \times x = 3x$,$3 \times 4 = 12$,Combining these results gives the equivalent expression $3x + 12$.
Math,Advanced Math,Equivalent expressions,Easy,Which expression is equivalent to $4x + 7 + 2x$?,$6x + 7$,$13x$,$6x - 7$,$2x + 7$,A,,The given expression is $4x + 7 + 2x$.,Identify the like terms in the expression. The terms $4x$ and $2x$ are like terms.,Combine the like terms by adding their coefficients: $4x + 2x = (4+2)x = 6x$.,"The constant term, 7, remains unchanged.",The simplified expression is $6x + 7$.,
Math,Advanced Math,Equivalent expressions,Easy,Which expression is equivalent to $x^2 + 5x$?,$x(x + 5)$,$x^2(1 + 5x)$,$5x(x+1)$,$6x^2$,A,,The given expression is $x^2 + 5x$.,Identify the greatest common factor (GCF) of the terms $x^2$ and $5x$.,The GCF is $x$.,Factor out $x$ from each term: $x^2 = x \cdot x$ and $5x = x \cdot 5$.,Rewrite the expression using the distributive property in reverse: $x(x+5)$.,
Math,Advanced Math,Equivalent expressions,Easy,Which expression is equivalent to $7m^2 + 2m^2$?,$9m^4$,$5m^2$,$14m^4$,$9m^2$,D,,The expression is $7m^2 + 2m^2$.,"The terms are like terms because they have the same variable part, $m^2$.","To combine like terms, add their coefficients.",$7 + 2 = 9$.,The resulting expression is $9m^2$.,
Math,Advanced Math,Equivalent expressions,Easy,The expression $4x + c$ is equivalent to $4(x+2)$. What is the value of $c$?,2,4,6,8,D,,We are given that $4x + c$ is equivalent to $4(x+2)$.,"First, expand the expression $4(x+2)$ using the distributive property.",$4 \times x = 4x$,$4 \times 2 = 8$,"So, $4(x+2)$ is equivalent to $4x + 8$.","By comparing $4x + 8$ to $4x + c$, we can see that the value of $c$ must be 8."
Math,Advanced Math,Equivalent expressions,Easy,Which expression is equivalent to $(x+3)(x+2)$?,$x^2 + 5x + 6$,$x^2 + 6x + 5$,$x^2 + x + 6$,$2x + 5$,A,,The given expression is $(x+3)(x+2)$.,"Use the FOIL method (First, Outer, Inner, Last) to multiply the two binomials.",First: $x \cdot x = x^2$.,Outer: $x \cdot 2 = 2x$.,Inner: $3 \cdot x = 3x$.,Last: $3 \cdot 2 = 6$. Combine all terms: $x^2 + 2x + 3x + 6$. Combine like terms $2x$ and $3x$ to get $x^2+5x+6$.
Math,Advanced Math,Equivalent expressions,Easy,Which expression is equivalent to $5p + 3q - 2p + q$?,$3p + 4q$,$7p + 4q$,$3p + 2q$,$7pq$,A,,The expression given is $5p + 3q - 2p + q$.,Group the like terms together. Like terms have the same variable.,Group the terms with variable $p$: $(5p - 2p)$.,Group the terms with variable $q$: $(3q + q)$. Note that $q$ is the same as $1q$.,Combine the coefficients for each variable: $(5-2)p = 3p$ and $(3+1)q = 4q$.,The simplified expression is $3p + 4q$.
Math,Advanced Math,Equivalent expressions,Easy,Which expression is equivalent to $4x + 8$?,$4(x + 8)$,$8(x + 4)$,$4(x + 2)$,$12x$,C,,The given expression is $4x + 8$.,"To factor the expression, find the greatest common factor (GCF) of the terms $4x$ and $8$.","The factors of 4 are 1, 2, 4. The factors of 8 are 1, 2, 4, 8. The GCF is 4.",Factor out 4 from each term in the expression.,Divide each term by 4: $\frac{4x}{4} = x$ and $\frac{8}{4} = 2$.,Write the factored expression as $4(x+2)$.
Math,Advanced Math,Equivalent expressions,Easy,Which expression is equivalent to $(10x - 4) - (3x + 2)$?,$7x - 6$,$7x - 2$,$13x - 2$,$13x - 6$,A,,The given expression is $(10x - 4) - (3x + 2)$.,Distribute the negative sign to each term in the second parenthesis.,This changes the expression to $10x - 4 - 3x - 2$.,Group the like terms: $(10x - 3x) + (-4 - 2)$.,Combine the like terms: $10x - 3x = 7x$ and $-4 - 2 = -6$.,The resulting expression is $7x - 6$.
