skill,domain,difficulty,question_text_latex,source_directory
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $3a + 5a$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $3(x + 4)$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $4x + 7 + 2x$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $x^2 + 5x$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $7m^2 + 2m^2$?,../psat
Equivalent expressions,Advanced Math,Easy,The expression $4x + c$ is equivalent to $4(x+2)$. What is the value of $c$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $(x+3)(x+2)$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $5p + 3q - 2p + q$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $4x + 8$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $(10x - 4) - (3x + 2)$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $x \cdot x \cdot x \cdot x$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $5(2y - 1)$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $15z - z$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $x^2 + 5x + 6$?,../psat
Equivalent expressions,Advanced Math,Easy,The expression $ax - 12$ is equivalent to $3(2x-4)$. What is the value of $a$?,../psat
Equivalent expressions,Advanced Math,Easy,Which of the following expressions is equivalent to $y+y+y$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $(x^3)^2$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $10a^3 - 15a^2$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $-2(a-3)$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $x^2 + 2x - 15$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $6y - 9$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $(a-b) + (a+b)$?,../psat
Equivalent expressions,Advanced Math,Easy,Which of the following is equivalent to $2(x+5)+3x$?,../psat
Equivalent expressions,Advanced Math,Easy,Which of the following expressions is equivalent to $x^2 \cdot x^3$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $14t - 5 - 3t + 8$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $9b - 4b$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $6(m - 3)$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $8 + 4y - 2$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $7y + 21$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $(x - 4)(x + 1)$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $y^5 \cdot y^2$?,../psat
Equivalent expressions,Advanced Math,Easy,The expression $5(x - b)$ is equivalent to $5x - 15$. What is the value of $b$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $-(p - 5)$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $(5x+1) + (2x-6)$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $x^2 - 9$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $6k + k + 5$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $b^2 - 3b$?,../psat
Equivalent expressions,Advanced Math,Easy,"If the expression $k(3x + 1)$ is equivalent to $6x + 2$, what is the value of $k$?",../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $5x^3 + 6x^3$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $(z^4)^3$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $x^2 - 4x - 5$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $2a + 3b + 4a$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $(x+5)^2$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $6x^2 + 9x$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $3(x+2) - x$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $\frac{w^8}{w^2}$ for $w \neq 0$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $12m - 18$?,../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $4(2x + 1) + 3$?,../psat
Equivalent expressions,Advanced Math,Easy,"The expression $(x+a)(x-a)$ is equivalent to $x^2 - 16$. What is the value of $a$, assuming $a$ is positive?",../psat
Equivalent expressions,Advanced Math,Easy,Which expression is equivalent to $10 + 3(x-1)$?,../psat
Equivalent expressions,Advanced Math,Hard,"The expression $x^4 + 4$ can be factored into two quadratic trinomials with integer coefficients, $(x^2 + ax + b)(x^2 + cx + d)$. Which of the following is a possible value for $a+b+c+d$?",../psat
Equivalent expressions,Advanced Math,Hard,Which of the following is equivalent to the expression $(x^2 - 1)(x^6 + x^4 + x^2 + 1)$?,../psat
Equivalent expressions,Advanced Math,Hard,"If $\frac{27^{n+1}}{9^{2n-1}} = \sqrt{3}$, what is the value of $n$?",../psat
Equivalent expressions,Advanced Math,Hard,"If $y = a + \frac{1}{a}$, which of the following is equivalent to $a^2 + \frac{1}{a^2}$?",../psat
Equivalent expressions,Advanced Math,Hard,The expression $\frac{8y^3 + 27}{2y + 3}$ is equivalent to which of the following for $y \ne -\frac{3}{2}$?,../psat
Equivalent expressions,Advanced Math,Hard,Let $f(x)=x+\frac{1}{x}$. Which of the following expressions is equivalent to $(f(x))^2 - f(x^2)$?,../psat
Equivalent expressions,Advanced Math,Hard,The expression $(2x-3)(ax^2+4x-1)$ is equivalent to $2x^3+5x^2-14x+3$. What is the value of $a$?,../psat
Equivalent expressions,Advanced Math,Hard,"The expression $\sqrt{11+6\sqrt{2}}$ can be simplified to the form $a+b\sqrt{2}$, where $a$ and $b$ are integers. What is the value of $a^2+b^2$?",../psat
Equivalent expressions,Advanced Math,Hard,Which of the following is NOT a factor of the polynomial $p(x) = 4x^4 - 37x^2 + 9$?,../psat
Equivalent expressions,Advanced Math,Hard,Which of the following expressions is equivalent to $\frac{x-1}{\sqrt[3${x}-1}$ for $x \ne 1$?,../psat
Equivalent expressions,Advanced Math,Hard,"If $a+b=5$ and $ab=3$, what is the value of $a^3+b^3$?",../psat
Equivalent expressions,Advanced Math,Hard,"In the expansion of $(2x - 3y)^5$, what is the coefficient of the $x^2y^3$ term?",../psat
Equivalent expressions,Advanced Math,Hard,The polynomial $P(x) = ax^4 + bx^3 - 8x^2 + 6$ is divisible by $x^2-1$. What is the value of $a-b$?,../psat
Equivalent expressions,Advanced Math,Hard,"For $x \ne y$, which of the following is equivalent to the expression $\frac{x}{x-y} + \frac{y}{y-x}$?",../psat
Equivalent expressions,Advanced Math,Hard,Which of the following expressions is equivalent to $1 + \frac{1}{1 + \frac{1}{x}}$?,../psat
Equivalent expressions,Advanced Math,Hard,"For $x>2$, which expression is equivalent to $\frac{x^2-4x+4}{x-2} + \frac{x^2-9}{x+3}$?",../psat
Equivalent expressions,Advanced Math,Hard,Which of the following is a factor of the polynomial $x^4 + x^2 + 1$?,../psat
Equivalent expressions,Advanced Math,Hard,The expression $\frac{3x-7}{x^2-x-6}$ can be written as $\frac{A}{x-3} + \frac{B}{x+2}$ for constants $A$ and $B$. What is the value of $A+B$?,../psat
Equivalent expressions,Advanced Math,Hard,The expression $(x-1)(x+1)(x^2+1)(x^4+1)(x^8+1)$ is equivalent to which of the following?,../psat
Equivalent expressions,Advanced Math,Hard,"In the expansion of $(1+x+x^2)(1-x+x^2)$, what is the coefficient of the $x^2$ term?",../psat
Equivalent expressions,Advanced Math,Hard,"If $x^{-2} - 6x^{-1} + 9 = 0$, which of the following expressions is equivalent to $x^{-1}$?",../psat
Equivalent expressions,Advanced Math,Hard,The expression $(4x-7y)(16x^2+28xy+49y^2)$ is equivalent to which of the following?,../psat
Equivalent expressions,Advanced Math,Hard,"If the expression $2x^2+bx+18$ is equivalent to $2(x-k)^2$ for constants b and k, what is a possible value of $b+k$?",../psat
Equivalent expressions,Advanced Math,Hard,"The expression $\frac{x^3 - 4x^2 - 9x + 36}{x^2-7x+12}$ can be simplified to which of the following expressions, for $x \ne 3$ and $x \ne 4$?",../psat
Equivalent expressions,Advanced Math,Hard,"If $x > 0$ and $x^{2a} \cdot (x^{a+1})^3 = x^{21}$, what is the value of $a$?",../psat
Equivalent expressions,Advanced Math,Medium,Which expression is equivalent to $(2a^3 - 5a + 1) - (a^3 - 2a - 7)$?,../psat
Equivalent expressions,Advanced Math,Medium,Which expression is equivalent to $(2n - 3)(4n^2 + 5n - 1)$?,../psat
Equivalent expressions,Advanced Math,Medium,The expression $y^4 - 13y^2 + 36$ can be factored into which of the following forms?,../psat
Equivalent expressions,Advanced Math,Medium,"Which expression is equivalent to $(3x^2y^{-3})^2(2x^{-1}y^4)$, for all $x>0$ and $y>0$?",../psat
Equivalent expressions,Advanced Math,Medium,"If $P = 2x - 5$ and $Q = x^2 + 1$, which of the following expressions is equivalent to $Q - P^2$?",../psat
Equivalent expressions,Advanced Math,Medium,Which of the following expressions is a factor of $3x^3 + 2x^2 - 12x - 8$?,../psat
Equivalent expressions,Advanced Math,Medium,The expression $4(x+2) + (2x-1)(x-3)$ is equivalent to which of the following?,../psat
Equivalent expressions,Advanced Math,Medium,"If $(2x - 3)(3x + 5)$ is rewritten in the form $ax^2 + bx + c$, what is the value of $b$?",../psat
Equivalent expressions,Advanced Math,Medium,Which of the following is equivalent to $\frac{x^2 - 7x + 10}{x-5}$ for $x \neq 5$?,../psat
Equivalent expressions,Advanced Math,Medium,Which expression is equivalent to $(x^4 - 81)$?,../psat
Equivalent expressions,Advanced Math,Medium,Which expression is equivalent to $(3p^2 - 4q)^2$?,../psat
Equivalent expressions,Advanced Math,Medium,The expression $12x^3y^2 - 20x^2y^3 + 4xy$ is equivalent to which of the following?,../psat
Equivalent expressions,Advanced Math,Medium,Which of the following is equivalent to $(x^{1/2} + 2y^{1/2})(x^{1/2} - 2y^{1/2})$ for $x \ge 0$ and $y \ge 0$?,../psat
Equivalent expressions,Advanced Math,Medium,The sum of $(4x^2y - 3xy^2 + 2)$ and $(-x^2y + 5xy^2 - 7)$ is equivalent to which expression?,../psat
Equivalent expressions,Advanced Math,Medium,"If $p$ is a constant such that $p(2x^2+5) - 3(x^2-1) = x^2+13$, what is the value of $p$?",../psat
Equivalent expressions,Advanced Math,Medium,The expression $\frac{12x^5y^2 - 8x^3y^4}{4x^2y}$ is equivalent to which of the following for all $x>0$ and $y>0$?,../psat
Equivalent expressions,Advanced Math,Medium,"The area of a rectangle is given by the expression $2x^2 + 7x + 3$. If the width of the rectangle is $x+3$, which expression represents the length of the rectangle?",../psat
Equivalent expressions,Advanced Math,Medium,"For $x>0$ and $y>0$, which of the following is equivalent to the expression $\frac{(x+y)^2 - (x-y)^2}{4xy}$?",../psat
Equivalent expressions,Advanced Math,Medium,Which expression is equivalent to $(\frac{1}{2}x - 4)(\frac{1}{2}x + 4)$?,../psat
Equivalent expressions,Advanced Math,Medium,Which expression is equivalent to $(x-3)(x+3)(x^2+9)$?,../psat
Equivalent expressions,Advanced Math,Medium,Which expression is a factor of $5x^2 - 13x - 6$?,../psat
Equivalent expressions,Advanced Math,Medium,Which expression is equivalent to $x^3 - x^2y + xy^2 - y^3$?,../psat
Equivalent expressions,Advanced Math,Medium,The expression $(x-2y)^3$ is equivalent to which of the following?,../psat
Equivalent expressions,Advanced Math,Medium,"If $x > 2$, which of the following is equivalent to $\frac{x^2 - x - 2}{2x - 4}$?",../psat
Equivalent expressions,Advanced Math,Medium,Let $f(x) = 2x - 1$ and $g(x) = x^2 + 3x$. Which expression is equivalent to $f(x) \cdot g(x) - g(x)$?,../psat
Equivalent expressions,Advanced Math,Medium,The expression $(4x^4 - 25y^2)$ is equivalent to which of the following?,../psat
Linear equations in one variable,Algebra,Easy,What value of $y$ is the solution to the equation $4 y + 5 = 29$?,../psat
Linear equations in one variable,Algebra,Easy,"If $x - 8 = 3$, what is the value of $x + 8$?",../psat
Linear equations in one variable,Algebra,Easy,A soft pretzel costs $\$3. A customer buys $n$ pretzels and pays a total of $\$21$. What is the value of $n$?,../psat
Linear equations in one variable,Algebra,Easy,$10z - 3z + 5 = 26$. What value of $z$ is the solution to the given equation?,../psat
Linear equations in one variable,Algebra,Easy,What value of $k$ is the solution to the equation $9k = 5k + 12$?,../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $3(x + 2) = 15$?,../psat
Linear equations in one variable,Algebra,Easy,What value of $m$ satisfies the equation $\frac{m}{5} = 4$?,../psat
Linear equations in one variable,Algebra,Easy,$100 - x = 75$. What value of $x$ is the solution to the given equation?,../psat
Linear equations in one variable,Algebra,Easy,"The perimeter of a square is 36 inches. What is the length of one side of the square, in inches?",../psat
Linear equations in one variable,Algebra,Easy,$2x + 3x = 50$. What value of $x$ is the solution to this equation?,../psat
Linear equations in one variable,Algebra,Easy,"If $2a = 10$, what is the value of $5a$?",../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $\frac{x}{2} + 3 = 7$?,../psat
Linear equations in one variable,Algebra,Easy,Maria has $\$50 in a savings account. Each week she deposits $\$10. After how many weeks will she have a total of $\$120 in the account?,../psat
Linear equations in one variable,Algebra,Easy,What value of $x$ is the solution to the equation $6x - 1 = 4x + 7$?,../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $-5x = 20$?,../psat
Linear equations in one variable,Algebra,Easy,"If $x + 7 = 10$, what is the value of $2x - 1$?",../psat
Linear equations in one variable,Algebra,Easy,Which of the following equations is equivalent to $10x + 5 = 25$?,../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $x + x + 1 = 15$?,../psat
Linear equations in one variable,Algebra,Easy,What value of $x$ is the solution to the equation $15 = 20 - x$?,../psat
Linear equations in one variable,Algebra,Easy,"If $\frac{1}{3}y = 6$, what is the value of $y$?",../psat
Linear equations in one variable,Algebra,Easy,"A phone plan has a monthly fee of $\$25$ plus $\$0.10$ for each text message sent. If last month's bill was $\$28, how many text messages were sent?",../psat
Linear equations in one variable,Algebra,Easy,$9 = 2b + 1$. What is the solution for $b$?,../psat
Linear equations in one variable,Algebra,Easy,What value of $w$ is the solution to the equation $7(w - 1) = 21$?,../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $12 - \frac{x}{3} = 8$?,../psat
Linear equations in one variable,Algebra,Easy,What value of $x$ is the solution to the equation $5x - 4x + 10 = 10$?,../psat
Linear equations in one variable,Algebra,Easy,What value of $x$ is the solution to the equation $3x + 4 = 19$?,../psat
Linear equations in one variable,Algebra,Easy,$23 = 5p + 3$. What is the value of $p$?,../psat
Linear equations in one variable,Algebra,Easy,What value of $y$ is the solution to the equation $8y + 2 = 3y + 22$?,../psat
Linear equations in one variable,Algebra,Easy,$9z - 4z - 5 = 15$. What is the solution for $z$?,../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $\frac{x}{6} = 3$?,../psat
Linear equations in one variable,Algebra,Easy,$6(k-2) = 18$. What value of $k$ is the solution to this equation?,../psat
Linear equations in one variable,Algebra,Easy,The price of one movie ticket is $\$8. A group of friends paid a total of $\$56 for tickets. How many friends were in the group?,../psat
Linear equations in one variable,Algebra,Easy,"If $x - 3 = 4$, what is the value of $3x$?",../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $5x + 20 = 10$?,../psat
Linear equations in one variable,Algebra,Easy,$25 - y = 11$. What value of $y$ is the solution to this equation?,../psat
Linear equations in one variable,Algebra,Easy,What value of $z$ satisfies the equation $\frac{1}{4}z + 2 = 5$?,../psat
Linear equations in one variable,Algebra,Easy,"The perimeter of a rectangle is 26 centimeters. If the width of the rectangle is 4 centimeters, what is its length, in centimeters?",../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $7m + 8 = 8$?,../psat
Linear equations in one variable,Algebra,Easy,$11x = 10x + 7$. What value of $x$ is the solution to the given equation?,../psat
Linear equations in one variable,Algebra,Easy,"After depositing $\$20 into her savings account each week for 5 weeks, Sarah's account balance is $\$150. What was her starting balance?",../psat
Linear equations in one variable,Algebra,Easy,$40 = 8(n+1)$. What is the solution for $n$?,../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $-4x = 32$?,../psat
Linear equations in one variable,Algebra,Easy,$18 - 2x = 10$. What value of $x$ is the solution to this equation?,../psat
Linear equations in one variable,Algebra,Easy,"If $2x + 1 = 9$, what is the value of $x-1$?",../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $2k - 5k = 21$?,../psat
Linear equations in one variable,Algebra,Easy,"A bathtub contains 10 gallons of water and is draining at a rate of 2 gallons per minute. How many minutes, $m$, will it take for the bathtub to be empty?",../psat
Linear equations in one variable,Algebra,Easy,"If $\frac{2}{5}x = 4$, what is the value of $x$?",../psat
Linear equations in one variable,Algebra,Easy,Which of the following equations is equivalent to $3x - 6 = 9$?,../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $x + 12 = 20$?,../psat
Linear equations in one variable,Algebra,Easy,"A car rental company charges a fee of $\$50$ plus $\$0.25$ per mile driven. If a customer's total bill was $\$60, how many miles were driven?",../psat
Linear equations in one variable,Algebra,Easy,What value of $x$ is the solution to the equation $x - 9 = 2$?,../psat
Linear equations in one variable,Algebra,Easy,$y + 15 = 22$. What value of $y$ is the solution to the given equation?,../psat
Linear equations in one variable,Algebra,Easy,What value of $x$ is the solution to the equation $4x - 3 = 17$?,../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $\frac{z}{4} + 1 = 3$?,../psat
Linear equations in one variable,Algebra,Easy,"The perimeter of a rectangle is 30 feet. If the length of the rectangle is 10 feet, what is its width, in feet?",../psat
Linear equations in one variable,Algebra,Easy,"If $4p = 12$, what is the value of $p+5$?",../psat
Linear equations in one variable,Algebra,Easy,What value of $x$ is the solution to the equation $8x = 6x + 10$?,../psat
Linear equations in one variable,Algebra,Easy,$3x + 5x = 40$. What is the solution to this equation?,../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $-2(x+5) = -14$?,../psat
Linear equations in one variable,Algebra,Easy,What value of $y$ is the solution to the equation $6y = -24$?,../psat
Linear equations in one variable,Algebra,Easy,A sister is 5 years older than her brother. Their combined age is 21. How old is the brother?,../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $7x + 20 = 6$?,../psat
Linear equations in one variable,Algebra,Easy,Which of the following equations is equivalent to $5x + 15 = 20$?,../psat
Linear equations in one variable,Algebra,Easy,"If $\frac{3}{4}x = 9$, what is the value of $x$?",../psat
Linear equations in one variable,Algebra,Easy,A pen costs $\$1.50 and a notebook costs $\$3.00. A student buys one notebook and some pens for a total of $\$9.00. How many pens did he buy?,../psat
Linear equations in one variable,Algebra,Easy,What value of $x$ is the solution to the equation $1 = 7 - 3x$?,../psat
Linear equations in one variable,Algebra,Easy,"If $\frac{y}{2} = 5$, what is the value of $2y - 10$?",../psat
Linear equations in one variable,Algebra,Easy,$12a - 10a = a + 3$. What value of $a$ is the solution to this equation?,../psat
Linear equations in one variable,Algebra,Easy,What value of $x$ satisfies the equation $x + (-4) = 10$?,../psat
Linear equations in one variable,Algebra,Easy,What value of $x$ is the solution to the equation $4(x-1) = 2x$?,../psat
Linear equations in one variable,Algebra,Easy,The sum of three consecutive integers is 33. What is the smallest integer?,../psat
Linear equations in one variable,Algebra,Easy,What value of $z$ is the solution to the equation $8z + 15 = 15$?,../psat
Linear equations in one variable,Algebra,Easy,What value of $x$ satisfies the equation $x - \frac{x}{3} = 10$?,../psat
Linear equations in one variable,Algebra,Easy,$5x = 45$. What value of $x$ is the solution to the given equation?,../psat
Linear equations in one variable,Algebra,Easy,John has twice as much money as Mary. Together they have $\$36. How much money does John have?,../psat
Linear equations in one variable,Algebra,Easy,What value of $q$ is the solution to the equation $q + 11 = 19$?,../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $2x - 7 = 11$?,../psat
Linear equations in one variable,Algebra,Easy,$7x - x + 4 = 28$. What value of $x$ is the solution to the given equation?,../psat
Linear equations in one variable,Algebra,Easy,"A video game costs $\$45. This price is $\$12 more than the cost of a board game. What is the cost, in dollars, of the board game?",../psat
Linear equations in one variable,Algebra,Easy,What value of $n$ is the solution to the equation $7n + 2 = 5n + 10$?,../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $\frac{x}{3} - 1 = 4$?,../psat
Linear equations in one variable,Algebra,Easy,What value of $y$ is the solution to the equation $3(y + 5) = 30$?,../psat
Linear equations in one variable,Algebra,Easy,"If $5k = 20$, what is the value of $k+8$?",../psat
Linear equations in one variable,Algebra,Easy,What value of $x$ is the solution for the equation $-6x = 42$?,../psat
Linear equations in one variable,Algebra,Easy,"The perimeter of a rectangle is 28 inches. If its length is 8 inches, what is its width, in inches?",../psat
Linear equations in one variable,Algebra,Easy,"If $\frac{1}{2} z = 10$, what is the value of $z$?",../psat
