test,domain,skill,difficulty,question_text_latex,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,step_1,step_2,step_3,step_4,step_5,step_6
Math,Algebra,Linear functions,Easy,The function $f$ is defined by $f(x) = 4x + 5$. What is the value of $f(3)$?,,,,,17,17,"To find the value of $f(3)$, substitute $3$ for $x$ in the function definition $f(x) = 4x + 5$.",$f(3) = 4(3) + 5$,"First, perform the multiplication: $4(3) = 12$.","Next, perform the addition: $12 + 5 = 17$.","Thus, the value of $f(3)$ is $17$.",
Math,Algebra,Linear functions,Easy,The function $g$ is defined by $g(x) = 10 - 2x$. What is the value of $g(3)$?,$4$,$8$,$16$,$24$,A,,"To find the value of $g(3)$, we substitute $x=3$ into the function $g(x) = 10 - 2x$.",$g(3) = 10 - 2(3)$,"Following the order of operations, we first multiply: $2(3) = 6$.","Then, we perform the subtraction: $10 - 6 = 4$.","So, the value of $g(3)$ is $4$. This corresponds to choice A. Choice B may result from subtracting before multiplying: $10-2=8$. Choice C may result from incorrectly adding instead of subtracting: $10+2(3)=16$. Choice D may result from an order of operations error: $(10-2) \times 3 = 24$.",
Math,Algebra,Linear functions,Easy,The function $h$ is defined by $h(x) = 5x$. For what value of $x$ does $h(x) = 45$?,$5$,$9$,$40$,$225$,B,,We are given the function $h(x) = 5x$ and we are asked to find the value of $x$ for which $h(x) = 45$.,Set the expression for $h(x)$ equal to $45$: $5x = 45$.,"To solve for $x$, divide both sides of the equation by $5$.",$x = \frac{45}{5} = 9$.,"Therefore, the value of $x$ is $9$. This is choice B. Choice A is the coefficient of $x$. Choice C is $45-5$. Choice D is $45 \times 5$.",
Math,Algebra,Linear functions,Easy,"A bakery sells cupcakes for $\$3 each. There is also a fixed delivery fee of $\$5. Which equation represents the total cost, $c$, for an order of $n$ cupcakes?",$c = 5n + 3$,$c = 3n + 5$,$c = 8n$,$c = 3n - 5$,B,,The total cost is composed of two parts: the cost of the cupcakes and the delivery fee.,"The cost of the cupcakes depends on the number of cupcakes, $n$. Since each cupcake costs $\$3$, the cost for $n$ cupcakes is $3n$.","The delivery fee is a fixed amount of $\$5$, regardless of the number of cupcakes ordered. This is a constant term.","The total cost, $c$, is the sum of the variable cost and the fixed fee: $c = 3n + 5$.",This matches choice B. Choice A incorrectly swaps the rate and the fixed fee. Choice C incorrectly combines the costs into a single rate. Choice D incorrectly subtracts the fee.,
Math,Algebra,Linear functions,Easy,"$C = 50 + 20h$. The given equation gives the total cost $C$, in dollars, for a plumber who works for $h$ hours. Which of the following is the best interpretation of the number 20 in this context?",The total cost of the job is $\$20.,The fixed fee for the plumber's visit is $\$20.,The plumber works for a total of 20 hours.,The cost increases by $\$20 for each hour worked.,D,,The equation $C = 50 + 20h$ is a linear model for the total cost $C$ based on the number of hours $h$.,"The term $50$ is a constant, representing a one-time or initial fee. In this context, it's the fixed fee.",The term $20h$ represents a cost that depends on the number of hours worked. The number 20 is the coefficient of $h$.,"In a linear function of the form $y = b + mx$, the coefficient $m$ represents the rate of change. Here, 20 is the rate of change of the cost with respect to hours.","Therefore, 20 represents the cost per hour, meaning the total cost increases by $\$20 for each hour worked. This is choice D.",
Math,Algebra,Linear functions,Easy,"The function $f$ is defined as $f(x) = mx + 10$. If $f(2) = 20$, what is the value of $m$?",,,,,5,5,We are given the function $f(x) = mx + 10$ and the condition $f(2) = 20$.,Substitute $x=2$ and $f(2)=20$ into the function's equation.,$20 = m(2) + 10$,"To solve for $m$, first subtract 10 from both sides of the equation: $20 - 10 = 2m$.",$10 = 2m$,"Now, divide both sides by 2: $m = \frac{10}{2} = 5$. The value of $m$ is 5."
Math,Algebra,Linear functions,Easy,"$T(d) = 25 - 2d$. The function gives the temperature $T$, in degrees Celsius, inside a freezer $d$ hours after it was plugged in. What is the temperature after 4 hours?",,,,,17,17,The function $T(d) = 25 - 2d$ models the temperature $T$ after $d$ hours.,"We need to find the temperature after 4 hours, which means we need to find the value of $T(4)$.",Substitute $d=4$ into the function: $T(4) = 25 - 2(4)$.,"First, calculate the product: $2(4) = 8$.","Then, perform the subtraction: $T(4) = 25 - 8 = 17$.",The temperature after 4 hours is 17 degrees Celsius.
Math,Algebra,Linear functions,Easy,"If $y = 9x - 1$, what is the value of $y$ when $x = 2$?",$10$,$16$,$17$,$19$,C,,We are given the equation $y = 9x - 1$ and asked to find the value of $y$ when $x=2$.,Substitute the value of $x=2$ into the equation: $y = 9(2) - 1$.,Perform the multiplication first: $9(2) = 18$.,"Now, perform the subtraction: $y = 18 - 1 = 17$.",The value of $y$ is 17. This corresponds to choice C. Choice B may result from a calculation error $18-2=16$. Choice D may result from adding instead of subtracting: $18+1=19$.,
Math,Algebra,Linear functions,Easy,The function $f$ is defined by $f(x) = x + 12$. For what value of $x$ is $f(x) = 20$?,,,,,8,8,We are given the function $f(x) = x + 12$ and the condition $f(x) = 20$.,"To find the value of $x$, we set the expression for $f(x)$ equal to 20.",$x + 12 = 20$,"To solve for $x$, subtract 12 from both sides of the equation.",$x = 20 - 12$,"$x = 8$. Therefore, $f(x) = 20$ when $x=8$."
Math,Algebra,Linear functions,Easy,The value $v$ of a collectible is $\$50 more than twice its original price $p$. Which equation represents this relationship?,$v = p + 50$,$v = 2p$,$v = 2p + 50$,$v = 50p + 2$,C,,We need to translate the verbal description into a mathematical equation.,The phrase 'twice its original price $p$' translates to the mathematical expression $2p$.,The phrase '$\$50 more than' means we need to add 50 to the previous expression.,"Combining these parts, the value $v$ is equal to $2p + 50$.","The equation is $v = 2p + 50$, which matches choice C.",
Math,Algebra,Linear functions,Easy,"$H = 100 - 5t$. The equation gives the height $H$, in meters, of a descending hot air balloon $t$ minutes after it started to descend. What is the best interpretation of 100 in this context?",The balloon descends at 100 meters per minute.,The balloon lands after 100 minutes.,The initial height of the balloon was 100 meters.,The final height of the balloon is 100 meters.,C,,"The given equation is $H = 100 - 5t$, which is in the form of a linear equation $y = b + mx$.","In this context, $H$ is the height and $t$ is the time in minutes. The term $100$ is the constant term, or the y-intercept.",The y-intercept represents the value of the dependent variable ($H$) when the independent variable ($t$) is zero.,"In this problem, $t=0$ corresponds to the moment the balloon started to descend, which is its initial state.",Substituting $t=0$ into the equation gives $H = 100 - 5(0) = 100$.,"Therefore, 100 represents the initial height of the balloon in meters. This is choice C."
Math,Algebra,Linear functions,Easy,"The function $g$ is defined by $g(x) = 4x + b$. If $g(5) = 21$, what is the value of $b$?",,,,,1,1,We are given the function definition $g(x) = 4x + b$ and the fact that $g(5) = 21$.,Substitute $x=5$ and $g(5)=21$ into the equation.,$21 = 4(5) + b$,"First, calculate the product: $4(5) = 20$.",The equation becomes $21 = 20 + b$.,"To solve for $b$, subtract 20 from both sides: $b = 21 - 20 = 1$. The value of $b$ is 1."
Math,Algebra,Linear functions,Easy,The function $f$ is defined by $f(x) = 15 - x$. What is the value of $f(10)$?,$5$,$10$,$15$,$25$,A,,"To find the value of $f(10)$, we substitute $x=10$ into the function $f(x) = 15 - x$.",$f(10) = 15 - 10$,Perform the subtraction: $15 - 10 = 5$.,The value of $f(10)$ is 5. This corresponds to choice A.,,
Math,Algebra,Linear functions,Easy,"Given the equation $y = 7x + 3$. If $y = 38$, what is the value of $x$?",,,,,5,5,We are given the equation $y = 7x + 3$ and the value $y = 38$.,Substitute $38$ for $y$ in the equation: $38 = 7x + 3$.,"To solve for $x$, first subtract 3 from both sides of the equation.","$38 - 3 = 7x$, which simplifies to $35 = 7x$.","Next, divide both sides by 7 to isolate $x$.",$x = \frac{35}{7} = 5$. The value of $x$ is 5.
Math,Algebra,Linear functions,Easy,"A phone's battery life $B$, in percent, starts at 100% and decreases by 8% for every hour $h$ of use. Which equation models the battery life?",$B = 100h - 8$,$B = 8h$,$B = 100 + 8h$,$B = 100 - 8h$,D,,The problem describes a linear relationship between the battery life $B$ and the hours of use $h$.,"The initial battery life is 100%. This is the starting value, or the y-intercept of the linear function.","The battery life 'decreases by 8% for every hour'. This describes the rate of change, or the slope. A decrease means the slope is negative, so the slope is -8.","The general form of a linear equation is $y = mx + b$, where $m$ is the slope and $b$ is the y-intercept. In this problem, the variables are $B$ and $h$.","Substituting the values we found: $B = -8h + 100$, which is equivalent to $B = 100 - 8h$.",This matches choice D.
Math,Algebra,Linear functions,Easy,"$C(x) = 2x + 10$. The function gives the cost $C$, in dollars, to rent a scooter for $x$ hours. How much does it cost to rent the scooter for 3 hours?",,,,,16,16,"The cost function is given by $C(x) = 2x + 10$, where $x$ is the number of hours.","We need to find the cost for a 3-hour rental, which means we need to calculate $C(3)$.",Substitute $x=3$ into the function: $C(3) = 2(3) + 10$.,"First, perform the multiplication: $2(3) = 6$.","Then, perform the addition: $C(3) = 6 + 10 = 16$.",The cost to rent the scooter for 3 hours is $\$16.
Math,Algebra,Linear functions,Easy,The function $h$ is defined by $h(t) = 50t$. What is the value of $h(5)$?,$10$,$55$,$250$,$505$,C,,We need to find the value of the function $h(t)$ when $t=5$.,The function is defined as $h(t) = 50t$.,Substitute $5$ for $t$ in the equation: $h(5) = 50(5)$.,Calculate the product: $50 \times 5 = 250$.,"So, the value of $h(5)$ is 250. This is choice C. Choice A comes from dividing 50 by 5. Choice B comes from adding 50 and 5. Choice D is an error in place value.",
Math,Algebra,Linear functions,Easy,The function $g$ is defined by $g(x) = 3x - 2$. For what value of $x$ does $g(x) = 10$?,$2$,$4$,$8$,$28$,B,,We are given $g(x) = 3x - 2$ and we need to find the value of $x$ when $g(x) = 10$.,Set the expression for $g(x)$ equal to 10: $3x - 2 = 10$.,"To solve for $x$, first add 2 to both sides of the equation: $3x = 10 + 2$.",$3x = 12$.,"Now, divide both sides by 3: $x = \frac{12}{3} = 4$.","The value of $x$ is 4, which is choice B. Choice D is the result of evaluating g(10)."
