test,domain,skill,difficulty,question_text_latex,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,step_1,step_2,step_3,step_4,step_5,step_6
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x) = 2x^2 + 5$. What is the value of $f(3)$?,$17$,$23$,$31$,$41$,B,,The function is defined as $f(x) = 2x^2 + 5$. We need to find the value of $f(3)$.,Substitute $x=3$ into the function's definition: $f(3) = 2(3)^2 + 5$.,"According to the order of operations, evaluate the exponent first: $3^2 = 9$.",The expression becomes $f(3) = 2(9) + 5$.,Perform the multiplication: $2(9) = 18$. The expression is now $f(3) = 18 + 5$.,"Perform the addition: $18 + 5 = 23$. Therefore, $f(3) = 23$."
Math,Advanced Math,Nonlinear functions,Easy,The function $g$ is defined by $g(x) = x^3 - 10$. What is the value of $g(3)$?,$-1$,$17$,$27$,$37$,B,,The function is defined as $g(x) = x^3 - 10$. We need to find the value of $g(3)$.,Substitute $x=3$ into the function's definition: $g(3) = (3)^3 - 10$.,Evaluate the exponent: $3^3 = 3 \times 3 \times 3 = 27$.,The expression becomes $g(3) = 27 - 10$.,"Perform the subtraction: $27 - 10 = 17$. Therefore, $g(3) = 17$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $h$ is defined by $h(x) = \frac{48}{x}$. What is the value of $h(6)$?,$6$,$8$,$42$,$54$,B,,The function is defined as $h(x) = \frac{48}{x}$. We need to find the value of $h(6)$.,Substitute $x=6$ into the function's definition: $h(6) = \frac{48}{6}$.,Perform the division: $48 \div 6 = 8$.,"Therefore, $h(6) = 8$.",,
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x) = 5 + \sqrt{x+11}$. What is the value of $f(25)$?,$10$,$11$,$15$,$30$,B,,The function is defined as $f(x) = 5 + \sqrt{x+11}$. We need to find the value of $f(25)$.,Substitute $x=25$ into the function: $f(25) = 5 + \sqrt{25+11}$.,"First, perform the addition inside the square root: $25 + 11 = 36$.",The expression becomes $f(25) = 5 + \sqrt{36}$.,Calculate the square root: $\sqrt{36} = 6$.,"The expression is now $f(25) = 5 + 6$. Perform the addition: $5+6=11$. Therefore, $f(25) = 11$."
Math,Advanced Math,Nonlinear functions,Easy,The function $k$ is defined by $k(t) = 100 - t^2$. What is the value of $k(8)$?,$16$,$36$,$84$,$92$,B,,The function is defined as $k(t) = 100 - t^2$. We need to find the value of $k(8)$.,Substitute $t=8$ into the function: $k(8) = 100 - (8)^2$.,Evaluate the exponent: $8^2 = 64$.,The expression becomes $k(8) = 100 - 64$.,"Perform the subtraction: $100 - 64 = 36$. Therefore, $k(8) = 36$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $p$ is defined by $p(x) = 3^x + 1$. What is the value of $p(4)$?,$13$,$28$,$81$,$82$,D,,The function is defined as $p(x) = 3^x + 1$. We need to find the value of $p(4)$.,Substitute $x=4$ into the function: $p(4) = 3^4 + 1$.,Evaluate the exponent: $3^4 = 3 \times 3 \times 3 \times 3 = 81$.,The expression becomes $p(4) = 81 + 1$.,"Perform the addition: $81 + 1 = 82$. Therefore, $p(4) = 82$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x) = (x-2)^2$. What is the value of $f(7)$?,$10$,$18$,$25$,$47$,C,,The function is defined as $f(x) = (x-2)^2$. We need to find the value of $f(7)$.,Substitute $x=7$ into the function: $f(7) = (7-2)^2$.,Perform the subtraction inside the parentheses: $7 - 2 = 5$.,The expression becomes $f(7) = (5)^2$.,"Evaluate the exponent: $5^2 = 25$. Therefore, $f(7) = 25$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $g$ is defined by $g(x) = |20 - x|$. What is the value of $g(35)$?,$-55$,$-15$,$15$,$55$,C,,The function is defined as $g(x) = |20 - x|$. We need to find the value of $g(35)$.,Substitute $x=35$ into the function: $g(35) = |20 - 35|$.,Perform the subtraction inside the absolute value bars: $20 - 35 = -15$.,The expression becomes $g(35) = |-15|$.,"The absolute value of a number is its distance from zero, which is always non-negative. $|-15| = 15$.","Therefore, $g(35) = 15$."
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x) = 1_000(2^x)$. What is the value of $f(3)$?,$6_000$,$8_000$,$16_000$,$64_000$,B,,The function is defined as $f(x) = 1_000(2^x)$. We need to find the value of $f(3)$.,Substitute $x=3$ into the function: $f(3) = 1_000(2^3)$.,Evaluate the exponent first: $2^3 = 2 \times 2 \times 2 = 8$.,The expression becomes $f(3) = 1_000(8)$.,"Perform the multiplication: $1_000 \times 8 = 8_000$. Therefore, $f(3) = 8_000$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $h$ is defined by $h(x) = \frac{1}{x^2}$. What is the value of $h(5)$?,$\frac{1}{10}$,$\frac{1}{25}$,$10$,$25$,B,,The function is defined as $h(x) = \frac{1}{x^2}$. We need to find the value of $h(5)$.,Substitute $x=5$ into the function: $h(5) = \frac{1}{5^2}$.,Evaluate the exponent in the denominator: $5^2 = 25$.,"The expression becomes $h(5) = \frac{1}{25}$. Therefore, this is the final value.",,
